Intellectual property right :Patent

Indicator :5 - Patent grants by technology

Source: WIPO statistics database. Last updated: May 2026

Origin,Origin (Code),Office,Field of technology,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
"Indonesia","ID","Total","26 - Machine tools","1","","","","1","","","1","","","","","1","1","1","3","2","2","1","","","","","","",
"Indonesia","ID","Total","27 - Engines, pumps, turbines","","1","","3","2","6","4","1","","","","","","","","","","","","","","","","","",
"Indonesia","ID","Total","28 - Textile and paper machines","","","1","1","1","1","2","5","2","","2","1","1","2","","","","1","2","1","","","","","",
"Indonesia","ID","Total","29 - Other special machines","1","2","1","","3","4","1","","","","1","","","","1","","","4","","","1","","1","","1",
"Indonesia","ID","Total","30 - Thermal processes and apparatus","","","","","","","1","","","","","1","","","","","","","","","","","","","",
"Indonesia","ID","Total","31 - Mechanical elements","","2","1","2","","2","","","","","","","1","1","1","","","","","","","","1","","",
"Indonesia","ID","Total","32 - Transport","1","1","1","2","","","","","","","","","","","1","","1","","","","","","1","","",
"Indonesia","ID","Total","33 - Furniture, games","1","","","1","1","2","3","2","","","1","1","2","3","3","1","2","2","1","","2","","2","","",
"Indonesia","ID","Total","34 - Other consumer goods","","1","2","2","2","","5","4","2","2","2","5","6","4","1","","2","1","2","2","1","3","1","1","5",
"Indonesia","ID","Total","35 - Civil engineering","1","","2","1","","1","","1","","2","","1","1","1","2","1","","4","","","1","3","","","1",
"Japan","JP","Total","Unknown","","","","","","","","46","58","35","20","14","4","6","7","11","10","29","14","23","17","17","106","274","70",
"Japan","JP","Total","1 - Electrical machinery, apparatus, energy","12555","13962","14860","16271","15564","15781","17046","18699","18688","20231","22943","25869","29463","31508","32173","26797","31152","31114","29163","29344","27530","26600","28092","26297","25522",
"Japan","JP","Total","2 - Audio-visual technology","12720","12713","13152","14475","15718","15047","18135","18982","18812","20597","21760","22975","24052","21157","18672","13949","14990","14246","13539","13700","12942","11636","11573","10923","10752",
"Japan","JP","Total","3 - Telecommunications","6871","6781","6871","7366","7510","7474","8385","8709","9074","9373","10227","11715","12243","11246","10390","8226","8153","7559","7618","7592","6603","6176","6159","5122","5084",
"Japan","JP","Total","4 - Digital communication","2972","2914","3052","3703","4176","4200","4932","5309","4913","5826","6820","8491","9240","9638","9360","7320","7948","7556","7927","8445","7620","7453","8191","7876","8019",
"Japan","JP","Total","5 - Basic communication processes","3151","3636","3539","3471","3285","2847","3322","3560","3183","3456","3766","4006","4028","3880","3459","2816","2636","2390","2469","2559","2361","2054","1844","2104","1787",
"Japan","JP","Total","6 - Computer technology","10050","10538","10086","10519","11093","10688","13140","14360","15122","16289","18249","21675","24178","24032","22712","17767","19076","17821","16668","16925","16464","16059","17000","17511","17909",
"Japan","JP","Total","7 - IT methods for management","346","358","427","540","608","798","926","1335","1333","1606","1704","2039","2442","2641","2725","1993","2542","2614","2762","2976","3489","4530","5609","6525","7805",
"Japan","JP","Total","8 - Semiconductors","10016","11825","11634","12069","10837","10764","12091","13979","12846","14415","15935","18108","20018","20973","21242","16691","17946","16528","14946","14162","13263","13180","13940","14446","14468",
"Japan","JP","Total","9 - Optics","12613","12665","13548","14496","14106","13925","15891","17836","18861","19495","21209","23864","25500","25309","24863","19684","21057","18621","17348","17718","16151","15058","15024","13943","13474",
"Japan","JP","Total","10 - Measurement","8113","8274","8308","8707","8462","8389","8821","9578","10082","10341","11546","13569","14975","15128","14461","11255","12693","12195","12606","13188","13134","12901","14069","13765","13185",
"Japan","JP","Total","11 - Analysis of biological materials","396","426","512","470","578","563","660","757","781","840","1032","1036","1014","1033","1041","986","947","913","942","950","1025","946","1013","1022","1015",
"Japan","JP","Total","12 - Control","3217","3344","3363","3540","3518","3459","3993","4188","3977","4348","4808","5367","6210","6096","5938","4471","5250","5065","5730","6163","6496","6816","7871","7723","7860",
"Japan","JP","Total","13 - Medical technology","2755","2706","2846","3388","3781","4044","4272","4738","5198","5664","7217","7863","8316","9343","9844","8345","9933","9591","9022","9077","9029","9308","9791","9352","9255",
"Japan","JP","Total","14 - Organic fine chemistry","3095","3372","2938","3059","3456","3050","3606","4018","4030","4014","4374","5026","5673","5684","5704","4939","4879","4413","4050","3704","3589","3618","3510","3546","3132",
"Japan","JP","Total","15 - Biotechnology","1534","1238","1035","1213","1401","1413","1682","1779","1915","2038","2255","2546","2472","2616","2564","2603","2706","2266","2267","2279","2175","2379","2375","2338","2269",
"Japan","JP","Total","16 - Pharmaceuticals","1438","1550","1376","1495","1680","1553","1782","2002","1951","2183","2611","3152","3595","3672","3588","3033","3253","2977","2796","2578","2661","2938","2643","2647","2527",
"Japan","JP","Total","17 - Macromolecular chemistry, polymers","4143","4384","4601","5016","4809","4285","4264","5170","4659","4552","5080","5995","6940","7940","8011","6276","6701","6393","5991","5745","6034","6561","6768","7038","6236",
"Japan","JP","Total","18 - Food chemistry","1521","1186","1079","1497","1512","1543","1435","1360","1576","1754","1915","2290","2095","2041","1901","1824","2296","1983","1893","2027","2117","2124","2322","2272","2060",
"Japan","JP","Total","19 - Basic materials chemistry","3117","3103","3117","3474","3855","3252","3871","4580","4334","4331","5017","5818","6539","7301","8244","6445","6843","6417","5968","5685","5847","6134","6235","6103","5549",
"Japan","JP","Total","20 - Materials, metallurgy","4446","4794","4894","4910","4677","4226","5035","5494","5357","6088","6145","6810","7598","8055","8683","7287","8187","7210","7373","7211","6857","6742","7279","6856","5732",
"Japan","JP","Total","21 - Surface technology, coating","4325","4292","4010","4123","3867","3778","4567","5414","5108","5301","6416","7593","8140","8168","8247","6644","7389","6752","6727","6998","6868","7124","7594","7165","6559",
"Japan","JP","Total","22 - Micro-structural and nano-technology","78","99","112","132","138","162","217","240","227","274","367","392","449","431","423","423","440","357","353","308","275","273","288","281","247",
"Japan","JP","Total","23 - Chemical engineering","2927","3424","3556","3422","3495","3593","4016","4225","3915","4134","4602","4986","5383","4895","4785","4074","4534","4233","3915","3894","3969","4021","4242","4011","3610",
"Japan","JP","Total","24 - Environmental technology","2314","2384","2722","2883","2886","3085","3562","3715","3359","3489","3835","4225","4354","4133","3908","3483","3820","3751","3245","3277","3035","3037","3125","2812","2381",
"Japan","JP","Total","25 - Handling","4243","4558","5000","5365","5315","5493","6177","7239","7347","8272","8683","9264","9995","9554","10054","7857","9432","8641","8223","8837","8834","9067","9828","10207","9997",
"Japan","JP","Total","26 - Machine tools","5103","5036","5375","5310","5055","5291","6085","5723","5633","6316","6700","7469","8241","8384","8708","6664","8263","7115","7090","7503","7217","6939","7305","7064","6665",
"Japan","JP","Total","27 - Engines, pumps, turbines","5113","5250","5297","5435","5929","5976","7518","8251","8536","8225","8768","8774","9458","9189","8911","8077","9940","9621","9418","9086","8160","7432","6872","6103","4644",
"Japan","JP","Total","28 - Textile and paper machines","6379","6372","6562","6482","6459","6306","7292","7585","7789","8342","9450","9973","9997","9427","9747","8691","8880","7778","7611","7206","7122","7126","7522","6819","6131",
"Japan","JP","Total","29 - Other special machines","5516","5961","5954","6035","6401","6211","6925","7091","6635","6556","7215","8109","9079","9060","9010","7844","8184","7600","7552","7785","8272","8732","9248","8317","7413",
"Japan","JP","Total","30 - Thermal processes and apparatus","3689","3528","3439","3339","3603","3896","4741","4489","4015","4104","4014","4468","4921","5308","5972","4294","5424","5377","5183","5414","5110","5292","4950","4828","4288",
"Japan","JP","Total","31 - Mechanical elements","4965","4773","4928","5872","5784","6279","6488","7047","7741","7759","8193","9260","9971","9605","8786","7754","9050","8978","8849","9452","8900","8149","7758","7461","6538",
"Japan","JP","Total","32 - Transport","6707","7363","7602","8187","8565","9361","9981","11588","12726","13077","13751","14380","15518","16344","16463","14552","17855","17842","17314","17640","16596","16305","18489","17379","15292",
"Japan","JP","Total","33 - Furniture, games","3251","3083","2858","3364","4069","4281","4830","5917","6722","7728","8702","9733","10828","12139","13241","11283","13496","12334","11849","11232","12163","11885","14297","14184","11802",
"Japan","JP","Total","34 - Other consumer goods","3134","2982","2952","3427","3404","3722","3996","4276","3887","4482","4592","4746","4663","4739","4599","3598","4131","3972","3852","3890","3904","3958","3964","4004","3982",
"Japan","JP","Total","35 - Civil engineering","6352","5959","5727","6241","6097","6954","7565","8553","7839","6894","7776","8386","8385","8642","8271","6310","7190","7101","7208","6852","6911","7431","8468","7969","6994",
"Lao People's Democratic Republic","LA","Total","25 - Handling","","","","","","","","","","","","","1","1","","","","1","","","","","","","",
"Lao People's Democratic Republic","LA","Total","27 - Engines, pumps, turbines","","","","","","","","","","","","","","","","","","","","","","","1","","",
"Lao People's Democratic Republic","LA","Total","32 - Transport","","","","","","","","","","","1","","","","","","","","","","","","","","",
"Lao People's Democratic Republic","LA","Total","34 - Other consumer goods","","","","","","","","","","","","","","","","","","","","","1","","","","",
"Lao People's Democratic Republic","LA","Total","35 - Civil engineering","","","","","","","","","","","","","","1","","","","","","","","","","","",
"Malaysia","MY","Total","Unknown","","","","","","","","","","","","","","","","","1","1","","","","","","","",
"Malaysia","MY","Total","1 - Electrical machinery, apparatus, energy","3","5","3","7","5","1","16","8","4","7","10","24","21","18","27","28","35","18","31","13","10","17","35","23","18",
"Malaysia","MY","Total","2 - Audio-visual technology","3","4","3","4","1","3","8","11","5","7","7","5","11","7","4","14","22","15","16","15","6","9","12","14","7",
"Malaysia","MY","Total","3 - Telecommunications","","1","","1","4","2","8","6","4","4","9","11","8","13","27","28","21","25","20","12","14","16","16","13","10",
"Malaysia","MY","Total","4 - Digital communication","","","","2","","1","2","4","1","4","6","8","14","23","30","42","48","39","39","24","16","29","27","15","11",
