,publications,domestic,pct_layer,upper,lower,labelled_max,origin_leader_office,dup_origin_year,dup_origin_field,dup_origin_only,domestic_share,pct_share,duplication_factor,labelled_dup,is_epc,home_is_origin_leader,domestic_measurable,H,identity,residual,on_identity,DH
DK,37993.0,1671.0,7558.0,37993.0,10073.0,9040.0,EP,4.201371226362933,3.802341873498799,4.202765486725664,4.398178611849551,16.592390946411715,3.771766107415864,4.202765486725664,True,False,True,0.043981786118495514,22.73668461998803,18.964918512572165,False,0.1658890102253549
ZA,3237.0,32.0,1283.0,3237.0,884.0,734.0,US,4.253613666228646,4.242463958060289,4.41008174386921,0.9885696632684584,28.384955752212388,3.661764705882353,4.41008174386921,False,False,True,0.009885696632684585,101.15625,97.49448529411765,False,0.03619909502262443
IT,96624.0,24639.0,17177.0,96624.0,27153.0,24639.0,IT,3.8569375698547024,3.658614161302537,3.9215877267746255,25.499875807252856,15.093891969314857,3.5585018230029832,3.9215877267746255,True,True,True,0.2549987580725286,3.921587726774625,0.36308590377164185,False,0.9074135454645896
FR,230545.0,62694.0,39585.0,230545.0,66820.0,62694.0,FR,3.677305643283249,3.4703907755298653,3.677305643283249,27.193823331670608,14.654055454781032,3.450239449266687,3.677305643283249,True,True,True,0.2719382333167061,3.6773056432832485,0.2270661940165617,False,0.9382520203531878
PT,4486.0,896.0,1083.0,4486.0,1305.0,1087.0,EP,4.01252236135957,3.760268231349539,4.126954921803128,19.97325011145787,19.446938409050098,3.4375478927203065,4.126954921803128,True,False,True,0.1997325011145787,5.006696428571429,1.5691485358511224,False,0.6865900383141762
TH,2766.0,0.0,793.0,2766.0,835.0,662.0,US,4.1782477341389725,3.7277628032345014,4.1782477341389725,,22.281539758359088,3.3125748502994012,4.1782477341389725,False,False,False,,,,False,
AU,44915.0,12036.0,8918.0,44915.0,14282.0,12036.0,AU,3.6924531404143375,3.160802251935257,3.731721502160186,26.797283758209954,16.5660468485873,3.144867665593054,3.731721502160186,False,True,True,0.26797283758209955,3.7317215021601857,0.5868538365671316,False,0.8427391121691641
DE,606721.0,191804.0,96599.0,606721.0,206183.0,191804.0,DE,3.163234343392213,2.948510973310266,3.163234343392213,31.613212662821955,13.73471535005403,2.942633485786898,3.163234343392213,True,True,True,0.31613212662821955,3.163234343392213,0.2206008576053149,False,0.9302609817492228
IE,23800.0,257.0,3574.0,23800.0,8208.0,8119.0,US,2.931395492055672,2.928870292887029,2.931395492055672,1.0798319327731092,13.056184700810988,2.8996101364522415,2.931395492055672,True,False,True,0.010798319327731091,92.6070038910506,89.70739375459836,False,0.03131091617933723
MT,1816.0,0.0,266.0,1816.0,656.0,548.0,US,3.3138686131386863,3.0623946037099494,3.3138686131386863,,12.776176753121998,2.768292682926829,3.3138686131386863,True,False,False,,,,False,
